Artist,# Of Movies They Wrote Songs For.
C. Ramchandra, 6
Naushad, 7
Shankar-Jaikishan, 2
S. D. Burman, 3
C.Ramchandra, 1
Shakeel Badayuni, 1
Shankar Jaikishan, 2
 Hemant Kumar, 1
Sachin Dev Burman, 2
Sahir Ludhianvi, 1
Vasant Desai, 2
Ghantasala, 1
Hemanta Mukherjee, 1
O. P. Nayyar, 1
Salil Choudhury, 1
Kishore Kumar, 1
Bharat Vyas, 1
