Artist,# Of Movies They Wrote Songs For.
Kalyanji-Anandji, 5
Biddu, 1
Indeevar, 1
Faruk Kaiser, 1
Laxmikant Pyarelal, 2
Laxmikant-Pyarelal, 20
Rahul Dev Burman, 5
R. D. Burman, 1
Majrooh Sultanpuri, 1
Rajesh Roshan, 2
Bappi Lahiri, 6
Ravi, 1
R.D. Burman, 2
Gulshan Bawra, 1
Bappi Lahri, 1
Bappi Lahari, 1
Ravindra Jain, 1
Anu Malik, 2
Javed Akhtar, 1
Anita Raj, 1
Raamlaxman, 1
Asad Bhopali, 1
Viju Shah, 1
