Artist,# Of Movies They Wrote Songs For.
Anand-Milind, 4
Bappi Lahiri, 2
Nadeem-Shravan, 6
Sameer, 2
Laxmikant-Pyarelal, 3
Shiv-Hari, 1
Raamlaxman, 2
Viju Shah, 2
Jatin–Lalit, 1
Rajesh Roshan, 1
Surinder Sodhi, 4
Koti, 2
BGM, 1
Anu Malik, 4
Aadesh Shrivastava, 1
Uttam Singh, 1
Dilip Sen-Sameer Sen, 1
Jatin-Lalit, 1
Jatin Lalit, 2
Himesh Reshammiya, 1
Sajid-Wajid, 1
Joel McNeely, 1
[1], 1
Ismail Darbar, 1
A. R. Rahman, 1
