Artist,# Of Movies They Wrote Songs For.
Sajid-Wajid, 1
Lalit Pandit, 1
Sandeep Shirodkar, 2
Pritam, 4
Sanjoy Chowdhury, 1
Aadesh Shrivastava, 1
Shantanu Moitra, 1
Shankar-Ehsaan-Loy, 2
Sandeep Chowta, 1
Vishal-Shekhar, 1
Rajesh Roshan, 1
Salim Sulaiman, 2
Vishal–Shekhar, 2
[1], 1
Salim–Sulaiman, 1
Shehzad Roy, 1
Ouseppachan, 1
