Artist,# Of Movies They Wrote Songs For.
Naushad, 5
Roshan, 2
Sahir Ludhianvi, 1
Ravi, 11
Shankar-Jaikishan, 1
O.P. Nayyar, 2
Shankar Jaikishan, 10
Laxmikant Pyarelal, 5
Sachin Dev Burman, 1
O. P. Nayyar, 1
S.H. Bihari, 1
Kalyanji-Anandji, 1
Kalyanji Anandji, 2
S. D. Burman, 3
Madan Mohan, 1
R. D. Burman, 1
Hasrat Jaipuri, 1
Shakeel Badayuni, 1
Laxmikant-Pyarelal, 1
Kishore Kumar, 1
R.D. Burman, 1
