Artist,# Of Movies They Wrote Songs For.
Pankaj Mullick, 1
Saraswati Devi, 2
Kavi Pradeep, 2
Gyan Dutt, 2
Ghulam Haider, 3
Shankar-Ehsaan-Loy, 1
Sandesh Shandilya, 1
Justin-Uday, 1
Pannalal Ghosh, 1
D. N. Madhok, 1
Anil Biswas, 1
Sajjad Hussain, 1
Naushad, 5
S. Rajeswara Rao, 1
M. D. Parthasarathy, 1
Husnlal Bhagatram, 1
Shankar Jaikishan, 1
Khemchand Prakash, 1
