Artist,# Of Movies They Wrote Songs For.
Kalyanji-Anandji, 7
Laxmikant-Pyarelal, 15
Rahul Dev Burman, 1
Laxmikant–Pyarelal, 5
Anand Bakshi, 4
Kalyanji–Anandji, 1
Shankar-Jaikishan, 1
Hasrat Jaipuri, 1
R. D. Burman, 4
Ghulam Mohammed, 1
Naushad Ali, 1
Shankar Jaikishan, 2
Sachin Dev Burman, 2
Laxmikant Pyarelal, 3
Ravindra Jain, 1
Master Krishnarao, 1
Madan Mohan, 1
Jaidev, 1
R.D. Burman, 1
Mohammed Zahur Khayyam, 1
Kalyanji Anandji, 1
Anjaan, 1
Indeewar, 1
